store,pass,worker,sample,wall_ms
A,1,7,5,785.51
A,1,7,6,625.73
A,1,7,7,846.43
A,1,7,8,754.51
A,1,7,9,850.48
A,1,7,10,815.04
A,1,7,11,829.14
A,1,7,12,790.86
A,1,7,13,828.78
A,1,7,14,778.77
A,1,7,15,697.94
A,1,7,16,819.48
A,1,7,17,751.76
A,1,7,18,902.87
A,1,7,19,641.86
A,1,7,20,696.37
A,1,7,21,787.75
A,1,7,22,659.88
A,1,7,23,576.33
A,1,7,24,629.55
A,1,7,25,671.14
A,1,7,26,650.94
A,1,7,27,617.03
A,1,7,28,617.40
A,1,7,29,651.24
A,1,7,30,1375.66
A,1,7,31,678.99
A,1,7,32,723.61
A,1,7,33,662.26
A,1,7,34,683.83
A,1,7,35,632.37
A,1,7,36,764.22
A,1,7,37,603.85
A,1,7,38,684.94
A,1,7,39,707.47
A,1,7,40,638.17
A,1,7,41,682.96
A,1,7,42,612.86
A,1,7,43,643.73
A,1,7,44,692.61
A,1,7,45,743.88
A,1,7,46,639.01
A,1,7,47,727.30
A,1,7,48,666.17
A,1,7,49,719.84
A,1,7,50,720.81
A,1,7,51,773.23
A,1,7,52,622.51
A,1,7,53,617.24
A,1,7,54,719.23
A,1,7,55,618.83
A,1,7,56,577.69
A,1,7,57,605.08
A,1,7,58,555.62
A,1,7,59,716.01
A,1,7,60,505.66
A,1,7,61,621.87
A,1,7,62,621.52
A,1,7,63,610.40
A,1,7,64,578.17
A,1,7,65,569.79
A,1,7,66,591.55
A,1,7,67,552.45
A,1,7,68,644.75
A,1,7,69,688.89
A,1,7,70,614.89
A,1,7,71,579.10
A,1,7,72,489.82
A,1,7,73,614.94
A,1,7,74,579.14
A,1,7,75,653.51
A,1,7,76,635.61
A,1,7,77,695.72
A,1,7,78,608.58
A,1,7,79,549.84
A,1,7,80,668.97
A,1,7,81,582.03
A,1,7,82,631.41
A,1,7,83,503.61
A,1,7,84,614.80
A,1,7,85,663.73
A,1,7,86,515.17
A,1,7,87,609.60
A,1,7,88,551.85
A,1,7,89,675.74
A,1,7,90,582.95
A,1,7,91,495.13
A,1,7,92,508.90
A,1,7,93,676.45
A,1,7,94,593.30
A,1,7,95,655.53
A,1,7,96,482.99
A,1,7,97,605.60
A,1,7,98,581.77
A,1,7,99,561.59
A,1,8,0,873.55
A,1,8,1,912.19
A,1,8,2,846.37
A,1,8,3,869.74
A,1,8,4,878.82
A,1,8,5,789.47
A,1,8,6,719.58
A,1,8,7,785.88
A,1,8,8,785.29
A,1,8,9,844.91
A,1,8,10,713.88
A,1,8,11,752.31
A,1,8,12,749.28
A,1,8,13,855.55
A,1,8,14,824.45
A,1,8,15,692.67
A,1,8,16,824.84
A,1,8,17,658.12
A,1,8,18,623.49
A,1,8,19,782.34
A,1,8,20,533.41
A,1,8,21,630.31
A,1,8,22,700.51
A,1,8,23,770.19
A,1,8,24,497.06
A,1,8,25,677.24
A,1,8,26,610.94
A,1,8,27,698.27
A,1,8,28,675.52
A,1,8,29,2082.59
A,1,8,30,716.98
A,1,8,31,542.78
A,1,8,32,721.14
A,1,8,33,636.07
A,1,8,34,713.21
A,1,8,35,921.38
A,1,8,36,728.76
A,1,8,37,564.42
A,1,8,38,591.84
A,1,8,39,656.81
A,1,8,40,625.35
A,1,8,41,738.55
A,1,8,42,539.18
A,1,8,43,756.47
A,1,8,44,588.99
A,1,8,45,698.22
A,1,8,46,586.10
A,1,8,47,687.65
A,1,8,48,611.34
A,1,8,49,679.97
A,1,8,50,658.96
A,1,8,51,583.24
A,1,8,52,660.57
A,1,8,53,601.26
A,1,8,54,653.22
A,1,8,55,584.90
A,1,8,56,688.31
A,1,8,57,648.74
A,1,8,58,517.63
A,1,8,59,599.31
A,1,8,60,761.04
A,1,8,61,688.42
A,1,8,62,804.16
A,1,8,63,453.40
A,1,8,64,726.45
A,1,8,65,548.70
A,1,8,66,643.11
A,1,8,67,654.27
A,1,8,68,535.85
A,1,8,69,701.50
A,1,8,70,624.17
A,1,8,71,589.52
A,1,8,72,666.25
A,1,8,73,670.69
A,1,8,74,485.93
A,1,8,75,503.36
A,1,8,76,636.84
A,1,8,77,562.38
A,1,8,78,541.14
A,1,8,79,806.64
A,1,8,80,604.50
A,1,8,81,785.98
A,1,8,82,675.50
A,1,8,83,536.50
A,1,8,84,502.28
A,1,8,85,514.29
A,1,8,86,629.70
A,1,8,87,445.45
A,1,8,88,675.72
A,1,8,89,606.51
A,1,8,90,516.70
A,1,8,91,570.09
A,1,8,92,607.24
A,1,8,93,571.82
A,1,8,94,622.69
A,1,8,95,642.34
A,1,8,96,573.70
A,1,8,97,463.31
A,1,8,98,617.32
A,1,8,99,502.20
A,1,9,0,867.27
A,1,9,1,809.72
A,1,9,2,776.07
A,1,9,3,874.53
A,1,9,4,868.35
A,1,9,5,784.32
A,1,9,6,830.32
A,1,9,7,771.48
A,1,9,8,870.97
A,1,9,9,720.52
A,1,9,10,734.69
A,1,9,11,719.00
A,1,9,12,749.67
A,1,9,13,797.49
A,1,9,14,664.89
A,1,9,15,762.07
A,1,9,16,666.85
A,1,9,17,605.72
A,1,9,18,745.30
A,1,9,19,754.11
A,1,9,20,850.53
A,1,9,21,662.64
A,1,9,22,649.33
A,1,9,23,690.48
A,1,9,24,660.65
A,1,9,25,752.38
A,1,9,26,657.43
A,1,9,27,745.67
A,1,9,28,634.30
A,1,9,29,581.47
A,1,9,30,694.58
A,1,9,31,739.79
A,1,9,32,751.44
A,1,9,33,718.98
A,1,9,34,602.60
A,1,9,35,675.76
A,1,9,36,688.87
A,1,9,37,804.65
A,1,9,38,681.75
A,1,9,39,571.05
A,1,9,40,605.89
A,1,9,41,701.22
A,1,9,42,721.54
A,1,9,43,658.67
A,1,9,44,728.11
A,1,9,45,586.23
A,1,9,46,642.75
A,1,9,47,709.55
A,1,9,48,517.11
A,1,9,49,582.36
A,1,9,50,703.29
A,1,9,51,587.87
A,1,9,52,661.14
A,1,9,53,697.59
A,1,9,54,728.34
A,1,9,55,640.33
A,1,9,56,606.84
A,1,9,57,655.51
A,1,9,58,740.01
A,1,9,59,640.17
A,1,9,60,726.98
A,1,9,61,715.73
A,1,9,62,628.17
A,1,9,63,691.90
A,1,9,64,708.65
A,1,9,65,602.44
A,1,9,66,646.17
A,1,9,67,543.19
A,1,9,68,540.14
A,1,9,69,551.82
A,1,9,70,606.61
A,1,9,71,725.82
A,1,9,72,532.63
A,1,9,73,473.22
A,1,9,74,588.65
A,1,9,75,712.63
A,1,9,76,558.56
A,1,9,77,637.05
A,1,9,78,607.19
A,1,9,79,540.32
A,1,9,80,612.87
A,1,9,81,654.26
A,1,9,82,683.12
A,1,9,83,729.84
A,1,9,84,593.76
A,1,9,85,503.48
A,1,9,86,558.87
A,1,9,87,507.00
A,1,9,88,674.00
A,1,9,89,547.30
A,1,9,90,623.51
A,1,9,91,667.64
A,1,9,92,622.22
A,1,9,93,553.63
A,1,9,94,536.54
A,1,9,95,465.73
A,1,9,96,593.43
A,1,9,97,658.67
A,1,9,98,563.42
A,1,9,99,610.56
A,1,10,0,917.65
A,1,10,1,824.37
A,1,10,2,812.94
A,1,10,3,920.10
A,1,10,4,736.36
A,1,10,5,773.78
A,1,10,6,838.19
A,1,10,7,825.69
A,1,10,8,778.31
A,1,10,9,767.41
A,1,10,10,783.41
A,1,10,11,725.12
A,1,10,12,744.89
A,1,10,13,766.54
A,1,10,14,781.77
A,1,10,15,715.23
A,1,10,16,735.99
A,1,10,17,798.66
A,1,10,18,794.54
A,1,10,19,755.37
A,1,10,20,751.03
A,1,10,21,700.27
A,1,10,22,787.23
A,1,10,23,615.58
A,1,10,24,739.29
A,1,10,25,717.37
A,1,10,26,553.25
A,1,10,27,716.94
A,1,10,28,2358.52
A,1,10,29,679.39
A,1,10,30,695.77
A,1,10,31,735.64
A,1,10,32,658.93
A,1,10,33,729.09
A,1,10,34,624.18
A,1,10,35,668.96
A,1,10,36,632.89
A,1,10,37,652.52
A,1,10,38,669.20
A,1,10,39,711.07
A,1,10,40,649.10
A,1,10,41,611.13
A,1,10,42,605.92
A,1,10,43,459.35
A,1,10,44,563.63
A,1,10,45,704.15
A,1,10,46,577.91
A,1,10,47,468.90
A,1,10,48,673.74
A,1,10,49,545.91
A,1,10,50,672.43
A,1,10,51,696.87
A,1,10,52,629.43
A,1,10,53,598.51
A,1,10,54,597.54
A,1,10,55,590.82
A,1,10,56,679.67
A,1,10,57,685.98
A,1,10,58,617.61
A,1,10,59,660.97
A,1,10,60,639.66
A,1,10,61,678.63
A,1,10,62,701.50
A,1,10,63,618.09
A,1,10,64,718.04
A,1,10,65,712.17
A,1,10,66,594.29
A,1,10,67,483.71
A,1,10,68,670.53
A,1,10,69,503.27
A,1,10,70,398.43
A,1,10,71,538.72
A,1,10,72,576.86
A,1,10,73,409.77
A,1,10,74,664.03
A,1,10,75,579.27
A,1,10,76,576.31
A,1,10,77,576.38
A,1,10,78,609.18
A,1,10,79,555.96
A,1,10,80,536.99
A,1,10,81,552.43
A,1,10,82,560.62
A,1,10,83,541.16
A,1,10,84,556.72
A,1,10,85,622.23
A,1,10,86,663.41
A,1,10,87,514.23
A,1,10,88,576.34
A,1,10,89,583.89
A,1,10,90,595.61
A,1,10,91,514.19
A,1,10,92,615.94
A,1,10,93,565.63
A,1,10,94,621.00
A,1,10,95,579.56
A,1,10,96,574.39
A,1,10,97,486.52
A,1,10,98,754.08
A,1,10,99,502.95
A,1,11,0,972.51
A,1,11,1,859.92
A,1,11,2,808.04
A,1,11,3,750.15
A,1,11,4,2598.60
A,1,11,5,834.99
A,1,11,6,824.40
A,1,11,7,854.89
A,1,11,8,670.63
A,1,11,9,754.73
A,1,11,10,815.19
A,1,11,11,739.68
A,1,11,12,826.13
A,1,11,13,749.74
A,1,11,14,696.00
A,1,11,15,691.78
A,1,11,16,688.22
A,1,11,17,691.00
A,1,11,18,606.87
A,1,11,19,684.74
A,1,11,20,861.36
A,1,11,21,639.11
A,1,11,22,704.29
A,1,11,23,676.45
A,1,11,24,730.56
A,1,11,25,2763.11
A,1,11,26,689.26
A,1,11,27,811.45
A,1,11,28,642.26
A,1,11,29,653.98
A,1,11,30,590.66
A,1,11,31,659.58
A,1,11,32,759.43
A,1,11,33,695.30
A,1,11,34,520.06
A,1,11,35,727.23
A,1,11,36,642.30
A,1,11,37,667.60
A,1,11,38,635.24
A,1,11,39,749.93
A,1,11,40,642.59
A,1,11,41,729.23
A,1,11,42,579.23
A,1,11,43,757.35
A,1,11,44,721.92
A,1,11,45,609.05
A,1,11,46,692.09
A,1,11,47,588.84
A,1,11,48,737.11
A,1,11,49,684.24
A,1,11,50,761.71
A,1,11,51,666.20
A,1,11,52,578.05
A,1,11,53,694.30
A,1,11,54,562.87
A,1,11,55,678.63
A,1,11,56,686.64
