index,tensor,candidate,shape,ok,max_diff,mean_diff,n_mismatched,cand_min,cand_max,ref_min,ref_max,cand_uniq,ref_uniq
4348927,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,3.0,9.0,3.0,9.0,"[3.0, 4.0, 6.0, 8.0, 9.0]","[3.0, 4.0, 6.0, 8.0, 9.0]"
4348927,x_static,new,"(6, 256, 256)",False,3062.1292781829834,176.20090623160885,393216,0.003323566634207964,3064.0,-2.1496386528015137,6.583795547485352,,
4348927,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,1.0,6.0,1.0,6.0,,
4348927,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,1.0,6.0,1.0,6.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
4348927,x_continuous,preprocessed,"(2, 15, 256, 256)",False,0.6204755306243896,0.013279402970230574,393216,-0.7479886412620544,5.984658718109131,-0.6864386200904846,5.982138633728027,,
4348927,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,3.0,9.0,3.0,9.0,"[3.0, 4.0, 6.0, 8.0, 9.0]","[3.0, 4.0, 6.0, 8.0, 9.0]"
4348927,x_static,preprocessed,"(6, 256, 256)",False,3.148113250732422,0.2399675434840578,131072,-1.2526369094848633,6.583795547485352,-2.1496386528015137,6.583795547485352,,
4348927,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,3.411712646484375,65536,7.0,7.0,1.0,6.0,,
4348927,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,3.4189910888671875,131072,7.0,7.0,1.0,6.0,[7.0],"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
3268144,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,1.630008476342463e-09,0,-18.42068099975586,6.089041709899902,-18.42068099975586,6.089041709899902,,
3268144,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,27.0,27.0,27.0,27.0,[27.0],[27.0]
3268144,x_static,new,"(6, 256, 256)",False,854.9617040157318,113.21428018567458,392884,0.0,856.0,-2.188307285308838,3.3643991947174072,,
3268144,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,,
3268144,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
