store,pass,worker,sample,wall_ms
A,1,9,91,572.56
A,1,9,92,586.06
A,1,9,93,574.55
A,1,9,94,494.04
A,1,9,95,497.87
A,1,9,96,630.19
A,1,9,97,527.94
A,1,9,98,491.03
A,1,9,99,644.65
A,1,10,0,813.07
A,1,10,1,846.99
A,1,10,2,859.15
A,1,10,3,872.55
A,1,10,4,675.26
A,1,10,5,739.41
A,1,10,6,867.33
A,1,10,7,765.72
A,1,10,8,759.83
A,1,10,9,716.91
A,1,10,10,789.13
A,1,10,11,689.07
A,1,10,12,753.54
A,1,10,13,844.68
A,1,10,14,784.16
A,1,10,15,753.73
A,1,10,16,751.65
A,1,10,17,779.64
A,1,10,18,686.54
A,1,10,19,681.55
A,1,10,20,746.61
A,1,10,21,671.42
A,1,10,22,751.03
A,1,10,23,684.31
A,1,10,24,750.98
A,1,10,25,662.78
A,1,10,26,650.15
A,1,10,27,673.22
A,1,10,28,656.69
A,1,10,29,598.68
A,1,10,30,716.32
A,1,10,31,679.71
A,1,10,32,2213.42
A,1,10,33,695.99
A,1,10,34,680.54
A,1,10,35,675.45
A,1,10,36,610.86
A,1,10,37,625.19
A,1,10,38,707.96
A,1,10,39,772.11
A,1,10,40,707.86
A,1,10,41,729.88
A,1,10,42,621.51
A,1,10,43,489.63
A,1,10,44,578.66
A,1,10,45,745.49
A,1,10,46,556.67
A,1,10,47,510.45
A,1,10,48,669.09
A,1,10,49,621.63
A,1,10,50,651.63
A,1,10,51,745.21
A,1,10,52,657.82
A,1,10,53,600.22
A,1,10,54,519.58
A,1,10,55,596.10
A,1,10,56,551.10
A,1,10,57,673.14
A,1,10,58,644.20
A,1,10,59,642.93
A,1,10,60,716.19
A,1,10,61,663.85
A,1,10,62,692.05
A,1,10,63,632.03
A,1,10,64,677.55
A,1,10,65,829.64
A,1,10,66,637.29
A,1,10,67,543.08
A,1,10,68,663.90
A,1,10,69,534.46
A,1,10,70,475.98
A,1,10,71,589.65
A,1,10,72,559.50
A,1,10,73,586.41
A,1,10,74,648.03
A,1,10,75,531.80
A,1,10,76,542.42
A,1,10,77,604.75
A,1,10,78,616.92
A,1,10,79,476.83
A,1,10,80,556.24
A,1,10,81,598.19
A,1,10,82,520.20
A,1,10,83,563.49
A,1,10,84,590.88
A,1,10,85,650.07
A,1,10,86,650.57
A,1,10,87,573.57
A,1,10,88,581.73
A,1,10,89,627.31
A,1,10,90,650.84
A,1,10,91,492.71
A,1,10,92,663.90
A,1,10,93,511.59
A,1,10,94,643.10
A,1,10,95,569.55
A,1,10,96,527.95
A,1,10,97,481.38
A,1,10,98,732.29
A,1,10,99,620.76
A,1,11,0,837.35
A,1,11,1,907.14
A,1,11,2,899.65
A,1,11,3,798.83
A,1,11,4,748.75
A,1,11,5,835.54
A,1,11,6,780.72
A,1,11,7,841.56
A,1,11,8,720.63
A,1,11,9,780.99
A,1,11,10,794.46
A,1,11,11,722.53
A,1,11,12,914.31
A,1,11,13,731.80
A,1,11,14,671.76
A,1,11,15,675.05
A,1,11,16,704.09
A,1,11,17,617.53
A,1,11,18,640.98
A,1,11,19,616.05
A,1,11,20,822.82
A,1,11,21,672.29
A,1,11,22,748.34
A,1,11,23,655.61
A,1,11,24,768.02
A,1,11,25,684.37
A,1,11,26,721.68
A,1,11,27,806.82
A,1,11,28,759.10
A,1,11,29,696.94
A,1,11,30,626.67
A,1,11,31,652.82
A,1,11,32,692.90
A,1,11,33,679.69
A,1,11,34,562.71
A,1,11,35,656.55
A,1,11,36,711.86
A,1,11,37,650.35
A,1,11,38,640.71
A,1,11,39,693.23
A,1,11,40,714.48
A,1,11,41,664.45
A,1,11,42,617.11
A,1,11,43,667.48
A,1,11,44,666.14
A,1,11,45,622.66
A,1,11,46,673.58
A,1,11,47,597.25
A,1,11,48,724.50
A,1,11,49,627.78
A,1,11,50,874.27
A,1,11,51,630.73
A,1,11,52,636.54
A,1,11,53,616.79
A,1,11,54,617.86
A,1,11,55,661.62
A,1,11,56,682.21
