dataset,sample_idx,var,n_chunks
single,46,urban,4
single,46,c4per,4
single,46,c3per,4
single,46,secmb,4
single,46,secma,4
single,46,secdn,4
single,46,c3nfx,4
single,46,c3ann,4
single,46,number_of_people,4
single,46,kg_class,4
single,46,weighted_PCT_SAND,2
single,46,weighted_PCT_CLAY,2
single,46,SLOPE,2
single,46,weighted_ORGANIC,2
single,46,elevation,2
single,46,ASPECT,2
single,46,LULC_states,6
single,47,secdf,2
single,47,range,2
single,47,primn,2
single,47,primf,2
single,47,c4per,2
single,47,pastr,2
single,47,urban,2
single,47,c4ann,2
single,47,secmb,2
single,47,c3per,2
single,47,secma,2
single,47,secdn,2
single,47,c3ann,2
single,47,c3nfx,2
single,47,number_of_people,2
single,47,kg_class,2
single,47,weighted_PCT_SAND,1
single,47,weighted_PCT_CLAY,1
single,47,weighted_ORGANIC,1
single,47,SLOPE,1
single,47,elevation,1
single,47,ASPECT,1
single,47,LULC_states,3
single,48,secdf,4
single,48,range,4
single,48,primn,4
single,48,primf,4
single,48,c4per,4
single,48,c4ann,4
single,48,c3per,4
single,48,pastr,4
single,48,secmb,4
single,48,urban,4
single,48,secma,4
single,48,c3nfx,4
single,48,secdn,4
single,48,c3ann,4
single,48,number_of_people,4
single,48,kg_class,4
single,48,weighted_PCT_SAND,2
single,48,weighted_PCT_CLAY,2
single,48,weighted_ORGANIC,2
single,48,SLOPE,2
single,48,elevation,2
single,48,ASPECT,2
single,48,LULC_states,6
single,49,secdf,4
single,49,range,4
single,49,primn,4
single,49,primf,4
single,49,pastr,4
single,49,c4per,4
single,49,urban,4
single,49,c4ann,4
single,49,c3per,4
single,49,secmb,4
single,49,secma,4
single,49,secdn,4
single,49,c3nfx,4
single,49,c3ann,4
single,49,number_of_people,4
single,49,kg_class,4
single,49,weighted_PCT_SAND,2
single,49,weighted_PCT_CLAY,2
single,49,weighted_ORGANIC,2
single,49,SLOPE,2
single,49,elevation,2
single,49,ASPECT,2
single,49,LULC_states,6
single,50,secdf,4
single,50,range,4
single,50,primn,4
single,50,primf,4
single,50,pastr,4
single,50,c4per,4
single,50,c4ann,4
single,50,c3per,4
single,50,urban,4
single,50,secmb,4
single,50,secma,4
single,50,secdn,4
single,50,c3ann,4
single,50,c3nfx,4
single,50,number_of_people,4
single,50,kg_class,4
single,50,weighted_PCT_SAND,2
single,50,weighted_PCT_CLAY,2
single,50,weighted_ORGANIC,2
single,50,SLOPE,2
single,50,elevation,2
single,50,ASPECT,2
single,50,LULC_states,6
single,51,secdf,4
single,51,range,4
single,51,primn,4
single,51,primf,4
single,51,pastr,4
single,51,c4ann,4
single,51,c4per,4
single,51,c3per,4
single,51,secmb,4
single,51,urban,4
single,51,secma,4
single,51,secdn,4
single,51,c3nfx,4
single,51,c3ann,4
single,51,number_of_people,4
single,51,kg_class,4
single,51,weighted_PCT_SAND,2
single,51,weighted_PCT_CLAY,2
single,51,weighted_ORGANIC,2
single,51,SLOPE,2
single,51,elevation,2
single,51,ASPECT,2
single,51,LULC_states,6
single,52,secdf,4
single,52,range,4
single,52,primn,4
single,52,primf,4
single,52,pastr,4
single,52,c4per,4
single,52,c4ann,4
single,52,c3per,4
single,52,urban,4
single,52,secmb,4
single,52,secdn,4
single,52,secma,4
single,52,c3ann,4
single,52,c3nfx,4
single,52,number_of_people,4
single,52,kg_class,4
single,52,weighted_PCT_SAND,2
single,52,weighted_PCT_CLAY,2
single,52,weighted_ORGANIC,2
single,52,SLOPE,2
single,52,elevation,2
single,52,ASPECT,2
single,52,LULC_states,6
single,53,secdf,8
single,53,range,8
single,53,primn,8
single,53,pastr,8
single,53,primf,8
single,53,c4per,8
