pool_size,file_size,file_index,wall_us
10000,10240,3303,123.36
1000,1048576,251,647.22
10000,102400,758,144.99
10000,10240,4726,108.32
10000,102400,4637,121.50
10000,10240,9591,103.03
10000,1048576,133,923.76
10000,10240,3120,108.75
10000,102400,8875,117.14
10000,1048576,2894,787.08
10000,1048576,2498,539.68
10000,10240,3605,102.49
1000,10485760,213,4598.40
10000,102400,4647,275.98
1000,1048576,12,731.03
10000,10240,1923,109.72
10000,1048576,2089,694.77
10000,1048576,9952,696.42
1000,10240,960,113.89
10000,10240,2029,107.02
10000,102400,9586,117.28
10000,1048576,147,897.89
10000,102400,4452,136.05
10000,102400,1849,124.86
10000,102400,3925,124.99
10000,1048576,3777,854.17
10000,102400,3600,128.50
10000,102400,9305,110.44
1000,10240,20,99.72
1000,102400,176,120.52
10000,102400,3534,122.95
10000,1048576,4193,870.12
1000,10240,31,112.50
100,10240,78,102.72
10000,1048576,3682,751.61
10000,1048576,3116,537.39
1000,102400,45,121.94
10000,102400,4488,112.77
10000,1048576,1014,738.85
10000,1048576,314,495.85
10000,1048576,815,622.74
10000,10240,1055,130.30
10000,10240,3010,106.99
10000,10240,3940,102.40
10000,102400,3202,121.27
1000,102400,236,127.47
10000,102400,4977,115.10
10000,10240,694,102.36
10000,102400,1760,122.42
10000,1048576,7364,772.89
10000,10240,0,115.01
10000,1048576,5840,539.27
1000,10240,891,99.19
1000,102400,922,117.30
10000,10240,7098,97.96
10000,10240,8920,97.65
10000,102400,4779,123.61
10000,102400,833,116.05
10000,10240,6799,108.07
10000,10240,9173,98.62
10000,10240,4495,94.49
10000,102400,3359,113.32
10000,1048576,1330,681.08
10000,102400,4380,124.60
10000,10240,7228,101.02
1000,10485760,2,3234.92
10000,1048576,2323,745.75
1000,1048576,978,724.08
10000,102400,1594,137.51
10000,10240,182,103.06
1000,102400,102,109.03
10000,1048576,6235,781.08
10000,102400,9280,124.64
10000,1048576,997,745.94
10000,102400,9999,127.38
10000,10240,7607,115.31
10000,1048576,9431,743.80
1000,10485760,452,3693.10
10000,1048576,9618,847.88
10000,10240,3730,114.67
1000,10485760,279,3283.84
10000,1048576,1453,524.23
10000,10240,617,105.72
10000,102400,1621,118.45
1000,102400,304,127.29
10000,1048576,1031,802.53
10000,1048576,1230,735.69
10000,1048576,5921,831.06
10000,1048576,9701,730.06
10000,1048576,5195,729.24
10000,1048576,4506,716.67
10000,1048576,8019,722.66
10000,10240,8589,117.07
10000,10240,9238,105.90
10000,10240,8025,103.36
10000,1048576,1378,726.91
10000,102400,7570,124.58
10000,1048576,8180,715.11
10000,10240,2317,107.23
10000,102400,3516,113.67
10000,1048576,712,760.78
10000,10240,9503,108.48
10000,102400,5473,121.49
10000,1048576,1954,680.87
10000,102400,9422,127.18
10000,1048576,6333,717.49
10000,102400,8758,143.07
10000,1048576,1083,790.63
10000,10240,1630,103.82
10000,1048576,1099,705.87
10000,102400,5993,124.97
10000,102400,1889,116.07
10000,102400,754,119.46
1000,102400,482,116.70
10000,10240,2813,102.27
10000,102400,5697,118.59
10000,1048576,5502,784.92
10000,1048576,8151,790.07
10000,102400,6922,123.62
10000,10240,6000,104.96
10000,10240,2814,104.59
10000,1048576,2330,777.60
10000,102400,4118,150.38
10000,1048576,8516,741.21
10000,10240,295,107.64
1000,1048576,771,771.31
10000,1048576,7819,761.81
10000,1048576,7088,646.50
10000,10240,7687,110.52
1000,10485760,43,3576.44
10000,1048576,962,731.17
10000,1048576,8525,540.73
10000,1048576,8574,547.42
10000,102400,5674,127.11
10000,10240,7874,114.70
10000,10240,8444,116.03
10000,1048576,6407,754.31
10000,1048576,2965,717.32
10000,1048576,7465,635.48
10000,102400,7751,118.62
10000,1048576,3377,790.95
10000,1048576,6699,717.73
10000,10240,1338,119.38
10000,10240,2265,99.77
10000,10240,7015,97.21
10000,1048576,8026,705.70
10000,10240,6582,111.58
10000,102400,8977,119.29
1000,10240,425,106.44
10000,1048576,7825,759.49
10000,1048576,807,852.62
10000,10240,2142,107.53
10000,10240,8117,113.65
10000,102400,4216,116.21
10000,102400,765,110.56
10000,1048576,9664,687.19
10000,1048576,2293,535.08
10000,102400,5417,122.93
10000,102400,7240,120.33
10000,1048576,8660,782.36
10000,10240,8961,109.29
10000,10240,1491,95.30
10000,102400,7921,116.51
10000,1048576,7882,807.29
1000,10240,450,114.34
10000,102400,8352,122.94
10000,102400,7537,120.75
10000,1048576,2847,691.31
10000,102400,44,124.01
10000,1048576,5971,707.99
10000,102400,7362,123.76
10000,10240,4822,101.77
10000,1048576,8931,770.75
10000,102400,5348,122.38
1000,102400,640,109.85
10000,10240,2014,92.98
10000,1048576,6005,821.50
10000,102400,449,126.83
10000,102400,2339,115.93
1000,10240,196,96.67
10000,102400,9313,116.19
10000,10240,3763,97.05
10000,1048576,8198,674.36
10000,102400,9833,122.65
10000,102400,8493,112.96
10000,10240,7392,107.35
10000,1048576,9970,741.17
10000,10240,4026,101.73
10000,10240,9967,104.31
1000,102400,249,120.26
10000,1048576,6718,757.68
10000,1048576,3222,738.04
10000,102400,9190,129.75
10000,102400,1057,116.07
10000,10240,3417,115.78
10000,102400,1806,115.08
10000,1048576,4355,700.95
10000,1048576,3056,722.17
10000,1048576,1844,778.63
10000,10240,8590,112.47
10000,102400,1489,117.54
10000,102400,5864,109.00
10000,10240,5200,107.35
1000,10485760,109,4138.21
10000,102400,232,160.95
1000,1048576,267,644.94
10000,10240,5137,107.90
10000,10240,8660,109.90
10000,102400,3713,120.74
10000,1048576,5351,778.98
10000,1048576,6442,746.00
10000,10240,5815,117.57
10000,10240,1928,111.08
10000,10240,5283,99.26
10000,10240,5673,99.52
10000,10240,6080,102.23
10000,10240,6763,104.78
10000,102400,3606,131.30
10000,102400,6210,122.64
1000,102400,724,114.14
10000,102400,8554,116.86
1000,1048576,209,776.78
1000,10485760,686,3222.29
10000,1048576,8932,761.78
10000,10240,4566,112.74
10000,1048576,9065,842.55
10000,10240,9393,109.79
10000,102400,7143,114.11
10000,102400,6849,113.56
10000,10240,6094,100.02
1000,10240,573,102.50
10000,10240,7312,97.82
100,104857600,84,29040.66
10000,102400,9470,195.21
10000,102400,2836,234.02
1000,102400,531,239.13
10000,102400,7770,266.01
10000,1048576,930,952.37
10000,102400,5252,135.66
10000,102400,1286,122.87
10000,102400,3482,123.09
10000,1048576,266,829.51
10000,1048576,9950,888.70
10000,102400,895,148.42
10000,1048576,3620,858.01
10000,10240,5640,125.89
10000,1048576,1455,628.63
10000,1048576,29,751.72
10000,1048576,3048,562.48
1000,102400,386,121.67
100,1048576,42,830.01
10000,102400,5122,131.84
10000,102400,355,112.54
10000,1048576,2318,853.49
10000,1048576,6579,649.67
